name,type,query
export_py_data,module,"Python Data Exporter

This script scans a directory for Python (.py) files and extracts information
about their contents (functions, classes, imports, etc.) and exports the data
to a CSV file with columns: name, type, and query."
ast,import,import ast
csv,import,import csv
os,import,import os
sys,import,import sys
argparse,import,import argparse
pathlib.Path,import_from,from pathlib import Path
typing.List,import_from,from typing import List
typing.Dict,import_from,from typing import Dict
typing.Any,import_from,from typing import Any
PythonFileAnalyzer,class,Analyzes Python files and extracts metadata.
PythonFileAnalyzer.__init__(self),method,No description
"PythonFileAnalyzer.analyze_file(self, file_path)",method,"Analyze a single Python file and extract metadata.

Args:
    file_path: Path to the Python file
    
Returns:
    List of dictionaries containing name, type, and query information"
"PythonFileAnalyzer.scan_directory(self, directory)",method,"Scan a directory for Python files and analyze them.

Args:
    directory: Path to the directory to scan
    
Returns:
    List of dictionaries containing extracted data"
"PythonFileAnalyzer.export_to_csv(self, data, output_file)",method,"Export the extracted data to a CSV file.

Args:
    data: List of dictionaries containing the data
    output_file: Path to the output CSV file"
main(),function,Main function to handle command-line arguments and execute the script.
__init__(self),function,No description
"analyze_file(self, file_path)",function,"Analyze a single Python file and extract metadata.

Args:
    file_path: Path to the Python file
    
Returns:
    List of dictionaries containing name, type, and query information"
"scan_directory(self, directory)",function,"Scan a directory for Python files and analyze them.

Args:
    directory: Path to the directory to scan
    
Returns:
    List of dictionaries containing extracted data"
"export_to_csv(self, data, output_file)",function,"Export the extracted data to a CSV file.

Args:
    data: List of dictionaries containing the data
    output_file: Path to the output CSV file"
math_utils,module,"Sample math utilities module.

This module provides basic mathematical operations."
math,import,import math
typing.Union,import_from,from typing import Union
"add_numbers(a, b)",function,"Add two numbers together.

Args:
    a: First number
    b: Second number
    
Returns:
    Sum of the two numbers"
"multiply_numbers(x, y)",function,Multiply two numbers and return the result.
Calculator,class,A simple calculator class for basic operations.
Calculator.__init__(self),method,Initialize the calculator.
"Calculator.divide(self, dividend, divisor)",method,"Divide two numbers.

Args:
    dividend: Number to be divided
    divisor: Number to divide by
    
Returns:
    Result of division
    
Raises:
    ValueError: If divisor is zero"
Calculator.get_history(self),method,Get calculation history.
__init__(self),function,Initialize the calculator.
"divide(self, dividend, divisor)",function,"Divide two numbers.

Args:
    dividend: Number to be divided
    divisor: Number to divide by
    
Returns:
    Result of division
    
Raises:
    ValueError: If divisor is zero"
get_history(self),function,Get calculation history.
data_processor,module,Data processing utilities for CSV and JSON files.
csv,import,import csv
json,import,import json
pathlib.Path,import_from,from pathlib import Path
DataProcessor,class,Process various data formats.
"DataProcessor.read_csv(self, filename)",method,Read data from a CSV file.
"DataProcessor.write_json(self, data, filename)",method,Write data to a JSON file.
"process_file(input_path, output_path)",function,"Process a file and convert it to another format.

This function takes an input file and processes it."
"read_csv(self, filename)",function,Read data from a CSV file.
"write_json(self, data, filename)",function,Write data to a JSON file.
